,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,home_turnovers_won,away_turnovers_won,Turnover,home_penalties_conceded,away_penalties_conceded,penalties_conceded,home_yellow_cards,away_yellow_cards,sin_bin
116,16.0,2022-02-12,Wasps,Bath_Rugby,-16.5,41.0,24.0,5.0,4.0,-1.0,8.0,16.0,-8.0,0.0,1.0,-1.0
117,16.0,2022-02-13,Saracens,Harlequins,-12.0,19.0,10.0,4.0,8.0,4.0,10.0,12.0,-2.0,,,0.0
118,17.0,2022-02-18,Worcester_Warriors,Bristol_Bears,6.5,19.0,14.0,5.0,7.0,2.0,12.0,8.0,4.0,0.0,1.0,-1.0
119,17.0,2022-02-19,Harlequins,Wasps,-2.0,29.0,24.0,1.0,8.0,7.0,11.0,13.0,-2.0,,,0.0
120,17.0,2022-02-19,Bath_Rugby,Leicester_Tigers,8.0,20.0,24.0,8.0,2.0,-6.0,9.0,12.0,-3.0,1.0,0.0,1.0
121,17.0,2022-02-19,London_Irish,Saracens,3.0,32.0,30.0,7.0,6.0,-1.0,16.0,9.0,7.0,2.0,,2.0
122,17.0,2022-02-19,Northampton_Saints,Sale_Sharks,4.0,21.0,22.0,7.0,7.0,0.0,8.0,17.0,-9.0,,,0.0
123,17.0,2022-02-20,Newcastle_Falcons,Exeter_Chiefs,4.5,14.0,15.0,6.0,2.0,-4.0,14.0,5.0,9.0,1.0,,1.0
124,18.0,2022-02-25,Bristol_Bears,Wasps,3.0,31.0,19.0,7.0,3.0,-4.0,11.0,13.0,-2.0,,,0.0
125,18.0,2022-02-25,Sale_Sharks,London_Irish,-10.0,27.0,27.0,7.0,3.0,-4.0,12.0,11.0,1.0,0.0,2.0,-2.0
126,18.0,2022-02-25,Worcester_Warriors,Harlequins,7.5,21.0,29.0,7.0,6.0,-1.0,9.0,4.0,5.0,,1.0,-1.0
127,18.0,2022-02-26,Leicester_Tigers,Gloucester_Rugby,-6.0,35.0,23.0,5.0,6.0,1.0,10.0,15.0,-5.0,,1.0,-1.0
128,18.0,2022-02-26,Newcastle_Falcons,Bath_Rugby,-3.0,25.0,30.0,5.0,4.0,-1.0,12.0,11.0,1.0,,1.0,-1.0
129,18.0,2022-02-27,Northampton_Saints,Exeter_Chiefs,-2.0,31.0,34.0,7.0,6.0,-1.0,10.0,11.0,-1.0,1.0,,1.0
130,19.0,2022-03-04,Harlequins,Newcastle_Falcons,-13.5,24.0,10.0,10.0,8.0,-2.0,12.0,12.0,0.0,2.0,,2.0
131,19.0,2022-03-05,Bath_Rugby,Bristol_Bears,4.0,29.0,27.0,4.0,7.0,3.0,10.0,13.0,-3.0,0.0,5.0,-5.0
132,19.0,2022-03-05,Gloucester_Rugby,Northampton_Saints,-7.5,35.0,30.0,7.0,3.0,-4.0,7.0,14.0,-7.0,0.0,1.0,-1.0
133,19.0,2022-03-05,London_Irish,Worcester_Warriors,-12.0,43.0,12.0,4.0,7.0,3.0,9.0,19.0,-10.0,0.0,3.0,-3.0
134,19.0,2022-03-05,Saracens,Leicester_Tigers,-5.0,34.0,27.0,7.0,3.0,-4.0,17.0,10.0,7.0,1.0,1.0,0.0
135,19.0,2022-03-06,Exeter_Chiefs,Sale_Sharks,-3.5,19.0,12.0,5.0,6.0,1.0,11.0,7.0,4.0,0.0,1.0,-1.0
136,20.0,2022-03-12,Worcester_Warriors,Exeter_Chiefs,11.0,,,,,0.0,,,0.0,,,0.0
137,20.0,2022-03-12,Leicester_Tigers,London_Irish,-5.5,,,,,0.0,,,0.0,,,0.0
138,20.0,2022-03-12,Newcastle_Falcons,Saracens,11.5,,,,,0.0,,,0.0,,,0.0
139,20.0,2022-03-12,Sale_Sharks,Gloucester_Rugby,-5.5,,,,,0.0,,,0.0,,,0.0
140,20.0,2022-03-13,Bristol_Bears,Harlequins,0.5,,,,,0.0,,,0.0,,,0.0
141,20.0,2022-03-13,Northampton_Saints,Wasps,-0.5,,,,,0.0,,,0.0,,,0.0
142,21.0,2021-12-31,Bristol_Bears,Sale_Sharks,,,,,,0.0,,,0.0,,,0.0
