,Unnamed: 0,Week,Date,Home Team,Away Team,Spread,Opening Spread,inter_spread_1,inter_spread_2,Home Points,Away Points,clean_breaks_home,clean_breaks_away,home_turnovers_conceded,away_turnovers_conceded,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,Unnamed: 21,Unnamed: 22,Unnamed: 23,sin_bin,penalties_conceded,clean_breaks,Turnover
90,,11.0,2024-05-04,Brumbies,Drua,-15.5,-13.5,,,28.0,20.0,4.0,5.0,11.0,11.0,10.0,5.0,16.0,11.0,1.0,,,,,1.0,5.0,1.0,-5.0
91,,12.0,2024-05-10,Moana,Chiefs,27.5,29.5,,,7.0,43.0,4.0,6.0,15.0,13.0,5.0,6.0,10.0,6.0,2.0,,,,,2.0,4.0,2.0,3.0
92,,12.0,2024-05-10,Reds,Rebels,-13.5,-12.5,,,26.0,22.0,6.0,1.0,9.0,4.0,3.0,5.0,12.0,10.0,1.0,1.0,,,,0.0,2.0,-5.0,7.0
93,,12.0,2024-05-11,Blues,Hurricanes,-2.5,-1.5,,,31.0,27.0,4.0,5.0,9.0,16.0,5.0,3.0,13.0,10.0,1.0,,,,,1.0,3.0,1.0,-9.0
94,,12.0,2024-05-11,Highlanders,Crusaders,7.5,5.5,,,32.0,29.0,5.0,6.0,16.0,13.0,7.0,6.0,6.0,12.0,2.0,1.0,,,,1.0,-6.0,1.0,2.0
95,,12.0,2024-05-11,Waratahs,Brumbies,9.5,10.5,,,21.0,29.0,9.0,1.0,20.0,10.0,2.0,5.0,9.0,9.0,,,,,,0.0,0.0,-8.0,13.0
96,,12.0,2024-05-11,Force,Drua,1.5,2.5,,,48.0,10.0,10.0,4.0,13.0,24.0,7.0,8.0,11.0,5.0,1.0,,,,,1.0,6.0,-6.0,-10.0
97,,13.0,2024-05-17,Hurricanes,Moana,-27.5,-33.5,,,32.0,24.0,6.0,5.0,16.0,18.0,8.0,7.0,9.0,9.0,,,,,,0.0,0.0,-1.0,-3.0
98,,13.0,2024-05-17,Rebels,Chiefs,18.5,16.5,,,23.0,26.0,7.0,4.0,11.0,10.0,6.0,5.0,11.0,8.0,,1.0,,,,-1.0,3.0,-3.0,0.0
99,,13.0,2024-05-18,Drua,Reds,-2.5,2.5,,,28.0,19.0,5.0,10.0,16.0,17.0,7.0,6.0,13.0,11.0,,2.0,,,,-2.0,2.0,5.0,-2.0
100,,13.0,2024-05-18,Brumbies,Crusaders,-7.5,-7.5,,,31.0,24.0,7.0,9.0,6.0,16.0,2.0,3.0,13.0,7.0,1.0,1.0,,,,0.0,6.0,2.0,-9.0
101,,13.0,2024-05-18,Blues,Highlanders,-18.5,-18.5,,,47.0,13.0,7.0,3.0,13.0,12.0,5.0,5.0,12.0,7.0,,,,,,0.0,5.0,-4.0,1.0
102,,13.0,2024-05-18,Force,Waratahs,-1.5,-1.5,,,27.0,7.0,8.0,4.0,11.0,18.0,7.0,4.0,9.0,15.0,,1.0,,,,-1.0,-6.0,-4.0,-10.0
103,,14.0,2024-05-24,Chiefs,Hurricanes,-4.5,-2.5,,,17.0,20.0,4.0,6.0,8.0,19.0,6.0,3.0,15.0,6.0,1.0,2.0,,,,-1.0,9.0,2.0,-14.0
104,,14.0,2024-05-24,Brumbies,Rebels,-14.5,-14.5,,,53.0,17.0,9.0,4.0,12.0,16.0,8.0,5.0,16.0,11.0,3.0,1.0,,,,2.0,5.0,-5.0,-7.0
105,,14.0,2024-05-25,Moana,Waratahs,-2.5,-1.5,,,27.0,12.0,6.0,5.0,13.0,16.0,4.0,7.0,8.0,12.0,,,,,,0.0,-4.0,-1.0,0.0
